Wavelength(nm)	Intensity(counts)
636.80	-7.00
637.25	-38.00
637.69	-132.00
638.14	-89.00
638.58	-32.00
639.03	-140.00
639.48	-411.00
639.92	-405.00
640.37	-125.00
640.81	-4.00
641.26	10.00
641.71	31.00
642.15	10.00
642.60	-14.00
643.04	-5.00
643.49	23.00
643.94	11.00
644.38	-3.00
644.83	17.00
645.27	14.00
645.72	21.00
646.16	2.00
646.61	9.00
647.06	19.00
647.50	30.00
647.95	17.00
648.39	22.00
648.84	1.00
649.28	-7.00
649.73	-85.00
650.17	-177.00
650.62	-75.00
651.06	-6.00
651.51	24.00
651.95	18.00
652.40	6.00
652.85	-29.00
653.29	-22.00
653.74	3.00
654.18	36.00
654.63	23.00
655.07	5.00
655.52	-12.00
655.96	-7.00
656.41	-26.00
656.85	5.00
657.30	-24.00
657.74	6.00
658.19	-25.00
658.63	-55.00
659.08	-84.00
659.52	-104.00
659.97	-56.00
660.41	-1.00
660.86	9.00
661.30	23.00
661.74	-20.00
662.19	11.00
662.63	17.00
663.08	-15.00
663.52	9.00
663.97	-22.00
664.41	-22.00
664.86	-22.00
665.30	-15.00
665.75	-10.00
666.19	-24.00
666.63	-53.00
667.08	-196.00
667.52	-231.00
667.97	-162.00
668.41	-45.00
668.86	-1.00
669.30	-3.00
669.75	-7.00
670.19	-27.00
670.63	-43.00
671.08	-81.00
671.52	-80.00
671.97	-14.00
672.41	-8.00
672.85	-19.00
673.30	-30.00
673.74	-6.00
674.19	-48.00
674.63	17.00
675.07	14.00
675.52	9.00
675.96	-17.00
676.41	2.00
676.85	-11.00
677.29	-12.00
677.74	-6.00
678.18	14.00
678.63	-11.00
679.07	-17.00
679.51	-21.00
679.96	-6.00
680.40	-7.00
680.84	-35.00
681.29	-20.00
681.73	-5.00
682.17	-8.00
682.62	-28.00
683.06	-13.00
683.50	4.00
683.95	-1.00
684.39	-20.00
684.84	-21.00
685.28	-6.00
685.72	13.00
686.17	18.00
686.61	10.00
687.05	-15.00
687.49	26.00
687.94	-19.00
688.38	-14.00
688.82	-3.00
689.27	8.00
689.71	21.00
690.15	34.00
690.60	-19.00
691.04	19.00
691.48	10.00
691.93	-71.00
692.37	-57.00
692.81	-74.00
693.25	-40.00
693.70	-9.00
694.14	-6.00
694.58	-15.00
695.03	8.00
695.47	-30.00
695.91	-11.00
696.35	-25.00
696.80	-29.00
697.24	5.00
697.68	6.00
698.13	20.00
698.57	12.00
699.01	3.00
699.45	-1.00
699.90	0.00
700.34	-14.00
700.78	-13.00
701.22	3.00
701.67	-20.00
702.11	-42.00
702.55	-112.00
702.99	-149.00
703.43	-116.00
703.88	-35.00
704.32	-18.00
704.76	17.00
705.20	-15.00
705.65	-47.00
706.09	-94.00
706.53	-55.00
706.97	-41.00
707.41	-5.00
707.86	3.00
708.30	-30.00
708.74	-17.00
709.18	-7.00
709.62	-29.00
710.07	-15.00
710.51	-1.00
710.95	-29.00
711.39	28.00
711.83	-1.00
712.28	-8.00
712.72	-5.00
713.16	20.00
713.60	10.00
714.04	-20.00
714.48	-12.00
714.93	-15.00
715.37	-18.00
715.81	-1.00
716.25	-8.00
716.69	-6.00
717.13	-50.00
717.57	-26.00
718.02	9.00
718.46	-19.00
718.90	-19.00
719.34	-25.00
719.78	-12.00
720.22	-2.00
720.66	-9.00
721.11	-39.00
721.55	-15.00
721.99	5.00
722.43	-16.00
722.87	22.00
723.31	-10.00
723.75	-40.00
724.19	-50.00
724.63	-74.00
725.08	-43.00
725.52	15.00
725.96	-21.00
726.40	-7.00
726.84	8.00
727.28	-25.00
727.72	-48.00
728.16	-3.00
728.60	-1.00
729.04	11.00
729.48	8.00
729.93	-12.00
730.37	-28.00
730.81	-2.00
731.25	-22.00
731.69	-10.00
732.13	4.00
732.57	2.00
733.01	-13.00
733.45	13.00
733.89	4.00
734.33	-12.00
734.77	-5.00
735.21	16.00
735.65	10.00
736.09	-20.00
736.53	-11.00
736.97	-18.00
737.41	-14.00
737.85	1.00
738.29	0.00
738.73	-14.00
739.18	-3.00
739.62	7.00
740.06	-23.00
740.50	-24.00
740.94	-13.00
741.38	-4.00
741.82	2.00
742.26	-1.00
742.70	0.00
743.14	-44.00
743.58	-18.00
744.02	-11.00
744.46	16.00
744.90	-4.00
745.34	-19.00
745.77	-19.00
746.21	8.00
746.65	-34.00
747.09	6.00
747.53	-5.00
747.97	-13.00
748.41	-21.00
748.85	-1.00
749.29	-14.00
749.73	-21.00
750.17	-3.00
750.61	-14.00
751.05	-6.00
751.49	-4.00
751.93	3.00
752.37	-17.00
752.81	4.00
753.25	10.00
753.69	4.00
754.13	-26.00
754.57	-4.00
755.00	-4.00
755.44	2.00
755.88	-3.00
756.32	-5.00
756.76	-7.00
757.20	-13.00
757.64	7.00
758.08	21.00
758.52	-11.00
758.96	13.00
759.40	-6.00
759.83	33.00
760.27	19.00
760.71	12.00
761.15	-12.00
761.59	-3.00
762.03	5.00
762.47	14.00
762.91	-36.00
763.35	-3.00
763.78	10.00
764.22	-7.00
764.66	-11.00
765.10	32.00
765.54	-24.00
765.98	1.00
766.42	36.00
766.85	-16.00
767.29	12.00
767.73	-8.00
768.17	5.00
768.61	-19.00
769.05	-2.00
769.48	23.00
769.92	1.00
770.36	2.00
770.80	-16.00
771.24	18.00
771.68	0.00
772.11	-40.00
772.55	2.00
772.99	-15.00
773.43	13.00
773.87	7.00
774.31	3.00
