Data Point Listing of File C:\Documents and Settings\NMR\Desktop\FPraktikum\2021\16122021\centerfrquency-1.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	kHz
-30127.908	11207.723	202.637
-29892.363	11290.268	200.195
-45914.250	11456.396	197.754
-18481.789	14743.063	195.313
-27185.609	16125.271	192.871
-29050.975	15860.926	190.430
-28422.441	20193.207	187.988
-26197.852	20923.320	185.547
-34327.109	15786.273	183.105
-40454.230	14382.154	180.664
-34053.258	27798.711	178.223
-34553.023	28903.656	175.781
-31123.736	17663.641	173.340
-34859.086	20786.301	170.898
-45911.258	13605.752	168.457
-24065.117	18196.172	166.016
-38070.711	29630.510	163.574
-35969.078	6140.495	161.133
-24752.961	20056.178	158.691
-25847.875	16142.821	156.250
-26786.246	11530.979	153.809
-36546.695	22038.625	151.367
-36467.414	21896.748	148.926
-32597.088	9698.388	146.484
-31050.426	9497.535	144.043
-36238.414	38853.762	141.602
-31061.799	17927.836	139.160
-24207.828	13840.953	136.719
-34466.992	17498.314	134.277
-53776.664	14058.309	131.836
-38041.781	23892.996	129.395
-53954.633	291.831	126.953
-55385.258	17079.566	124.512
-45032.250	10011.305	122.070
-55934.395	12202.182	119.629
-57598.125	16341.697	117.188
-49922.492	4477.288	114.746
-47399.207	13751.403	112.305
-68236.359	9298.371	109.863
-76244.758	6505.251	107.422
-75211.375	14726.615	104.980
-69237.813	23630.791	102.539
-68028.141	31383.160	100.098
-65364.406	32457.152	97.656
-68632.602	42336.047	95.215
-76729.727	32165.324	92.773
-89365.500	33942.602	90.332
-88684.344	46037.453	87.891
-85848.297	27838.713	85.449
-80351.531	48630.648	83.008
-80495.852	60624.398	80.566
-84737.719	65311.953	78.125
-84989.688	40652.883	75.684
-66179.813	60159.188	73.242
-56382.863	68038.320	70.801
-38816.410	52849.055	68.359
-49678.945	47739.430	65.918
-51364.266	32400.639	63.477
-32579.695	22380.559	61.035
-25017.445	-4463.003	58.594
-35912.996	-23597.609	56.152
-51386.250	-55723.180	53.711
-67581.102	-75055.273	51.270
-87306.453	-113716.070	48.828
-123383.047	-135916.188	46.387
-166770.375	-173365.250	43.945
-245702.844	-172284.406	41.504
-303043.375	-200637.406	39.063
-392391.531	-210307.969	36.621
-487460.688	-189172.156	34.180
