Data Point Listing of File C:\Documents and Settings\NMR\Desktop\FPraktikum\2021\16122021\centerfrquency-1.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	kHz
-6529.282	-7247.520	-346.680
-8122.065	9891.235	-349.121
-1196.268	3195.261	-351.563
4704.533	-4160.604	-354.004
-16348.886	6193.754	-356.445
-18493.832	5243.927	-358.887
-9820.211	3380.404	-361.328
-12146.135	-6899.641	-363.770
-2514.146	-230.640	-366.211
-7398.693	4521.214	-368.652
-18074.016	19703.643	-371.094
-4915.471	4931.756	-373.535
-270.365	-6949.735	-375.977
-14987.992	-3706.897	-378.418
-5737.148	-8040.664	-380.859
-8311.516	12745.312	-383.301
-4755.537	4299.636	-385.742
1755.790	2351.634	-388.184
-9042.082	-13678.752	-390.625
-6924.546	1634.352	-393.066
-9076.607	4403.517	-395.508
-16554.563	15362.119	-397.949
-787.066	631.373	-400.391
1949.777	-1615.718	-402.832
-17579.027	-5723.468	-405.273
-8981.768	-9193.203	-407.715
-3243.113	839.797	-410.156
4795.550	-849.869	-412.598
-1060.617	-399.177	-415.039
-4449.005	2647.934	-417.480
-12616.451	2712.061	-419.922
-13738.701	3156.719	-422.363
-6033.961	406.747	-424.805
-9674.623	-1586.344	-427.246
-3844.631	14551.437	-429.688
-13374.707	11555.223	-432.129
-13652.347	-2081.920	-434.570
2421.094	-6311.321	-437.012
-1872.391	-1223.326	-439.453
-3238.612	4577.429	-441.895
-6890.623	-2140.104	-444.336
3725.201	4306.500	-446.777
38.411	7952.133	-449.219
-9055.046	10402.586	-451.660
-9697.583	-9209.287	-454.102
4930.541	-1059.050	-456.543
-9434.287	-1448.037	-458.984
4850.585	-5620.367	-461.426
10828.819	11503.083	-463.867
-6332.779	892.646	-466.309
-18696.840	10101.509	-468.750
-11777.881	5166.669	-471.191
-1050.574	455.819	-473.633
-11476.854	3893.346	-476.074
1580.266	11964.406	-478.516
-80.182	-9407.697	-480.957
-6807.679	-7822.075	-483.398
81.708	8918.372	-485.840
6815.875	-2365.876	-488.281
1738.102	-1042.311	-490.723
-6321.877	-6235.675	-493.164
8756.146	-1208.262	-495.605
-8185.380	8920.396	-498.047
-5941.881	-14721.686	-500.488
-11225.105	4616.936	-502.930
-2975.218	2831.704	-505.371
-13585.589	7535.708	-507.813
-3209.369	5095.712	-510.254
3378.702	6663.107	-512.695
-10969.510	1288.585	-515.137
-2162.585	12711.655	-517.578
7049.928	1445.195	-520.020
-1158.229	4210.979	-522.461
2914.413	4470.521	-524.902
4934.447	-925.366	-527.344
-3616.066	-5748.206	-529.785
-5039.334	4528.121	-532.227
-10332.816	696.929	-534.668
-1739.441	-58.920	-537.109
-7020.294	412.422	-539.551
-8762.082	-3677.660	-541.992
-6131.176	-8907.079	-544.434
-5516.076	-10202.068	-546.875
-9701.726	-6291.763	-549.316
-2655.841	1161.237	-551.758
-7883.150	7937.725	-554.199
-4745.052	-3660.811	-556.641
-4229.407	-498.748	-559.082
-897.259	-1608.664	-561.523
-237.720	-1415.016	-563.965
-5537.207	-2161.907	-566.406
8830.514	2163.019	-568.848
-4519.181	-9989.980	-571.289
-9127.628	-2930.090	-573.730
4186.096	-2923.736	-576.172
4180.189	2443.040	-578.613
-3338.715	5222.068	-581.055
-3496.285	5523.946	-583.496
1828.074	3476.506	-585.938
5488.283	-6676.893	-588.379
-20344.609	4254.809	-590.820
-14402.718	-3423.349	-593.262
-1833.945	7769.391	-595.703
2337.118	8795.776	-598.145
-4363.466	3818.315	-600.586
7044.523	-3633.807	-603.027
-10062.126	8139.829	-605.469
1692.349	-4997.823	-607.910
-5905.917	4072.091	-610.352
-11843.143	3427.956	-612.793
1719.321	2777.396	-615.234
-10546.876	-1710.632	-617.676
2272.694	-5674.011	-620.117
-4254.059	-1340.033	-622.559
-4234.511	2060.626	-625.000
-12622.021	2911.324	-627.441
-164.519	1570.663	-629.883
-8390.989	13285.898	-632.324
2249.575	2659.143	-634.766
-2021.742	-2337.592	-637.207
-6611.133	7034.119	-639.648
-12813.456	6432.181	-642.090
-1632.161	5900.638	-644.531
-5169.848	7466.688	-646.973
-2909.125	-1791.162	-649.414
3782.494	2191.657	-651.855
-17133.213	2807.269	-654.297
-14.387	-2268.999	-656.738
-7634.604	5919.927	-659.180
1737.448	351.778	-661.621
279.511	-1922.476	-664.063
-9986.595	-4873.020	-666.504
629.963	-1562.645	-668.945
-6426.083	5822.573	-671.387
-13500.131	1644.656	-673.828
3470.378	9390.310	-676.270
-7672.655	-2127.776	-678.711
-1285.908	8409.573	-681.152
534.612	3113.468	-683.594
-230.445	5469.603	-686.035
6527.103	6477.011	-688.477
-3603.213	-6319.201	-690.918
-19.562	7037.881	-693.359
-10364.984	403.601	-695.801
9355.213	-3426.016	-698.242
-7467.882	-9702.357	-700.684
258.806	-4272.220	-703.125
-11434.943	7422.090	-705.566
-164.417	-4703.331	-708.008
-471.526	2756.365	-710.449
-11065.906	-1273.387	-712.891
3868.446	789.696	-715.332
-9427.512	2903.626	-717.773
-963.256	3449.339	-720.215
2235.534	-914.362	-722.656
814.362	-2856.614	-725.098
-5878.740	5373.970	-727.539
-6143.441	-1989.125	-729.980
-4236.614	4878.599	-732.422
-2108.427	-7594.751	-734.863
-7019.841	2270.347	-737.305
-7996.654	7004.144	-739.746
-12728.459	10884.748	-742.188
-4642.972	3710.686	-744.629
-8338.827	-4566.379	-747.070
5200.162	5222.979	-749.512
-6604.884	-3507.684	-751.953
-292.912	-4155.449	-754.395
-4613.624	620.050	-756.836
-4864.238	-469.746	-759.277
287.987	1695.512	-761.719
-6909.975	2399.958	-764.160
1123.688	8001.281	-766.602
-1924.537	9660.491	-769.043
2450.163	3515.846	-771.484
-389.619	3912.233	-773.926
-2787.093	-4063.293	-776.367
-9692.424	-2696.564	-778.809
-239.848	-2574.452	-781.250
-6687.559	-1014.908	-783.691
9044.590	-3832.522	-786.133
1802.592	-8872.035	-788.574
12035.931	-420.219	-791.016
4504.802	-4207.369	-793.457
-3928.748	2100.107	-795.898
-7362.060	1071.762	-798.340
-2823.456	8659.285	-800.781
-8522.896	4577.291	-803.223
-1447.290	3044.793	-805.664
1516.549	-1824.152	-808.105
12174.194	2188.291	-810.547
-1231.640	2847.626	-812.988
-2883.484	-2431.650	-815.430
1781.671	5273.050	-817.871
-4844.085	-8855.148	-820.313
5893.224	-11109.331	-822.754
1591.938	-1573.082	-825.195
-4130.027	8290.371	-827.637
-4108.582	9111.525	-830.078
-1969.385	-952.260	-832.520
7397.110	-1467.758	-834.961
922.394	-1274.684	-837.402
3594.702	-1435.690	-839.844
-3174.157	4048.607	-842.285
706.125	-7707.884	-844.727
-3483.830	1634.533	-847.168
-6400.812	7007.496	-849.609
-3442.927	3227.981	-852.051
-7224.857	-3057.828	-854.492
1489.880	6327.069	-856.934
7610.615	-3959.847	-859.375
5265.564	6757.137	-861.816
2013.615	1223.076	-864.258
-3482.835	-1506.341	-866.699
1143.115	618.938	-869.141
-2728.973	1435.177	-871.582
2603.280	1957.305	-874.023
428.017	5402.688	-876.465
-6572.261	4627.082	-878.906
-6595.508	-2627.876	-881.348
-1953.470	-1465.085	-883.789
-907.571	-1151.605	-886.230
-1556.980	-7479.457	-888.672
4958.789	11796.891	-891.113
2295.049	5277.884	-893.555
-7143.105	-4474.496	-895.996
2086.216	-268.049	-898.438
-9347.679	4765.188	-900.879
-4348.023	-2537.737	-903.320
-5202.195	189.151	-905.762
-1355.872	6638.933	-908.203
2880.581	-4332.016	-910.645
-5396.384	3533.283	-913.086
-5873.334	-1374.105	-915.527
635.842	171.105	-917.969
-496.118	4572.291	-920.410
4992.272	1565.299	-922.852
-13040.587	4608.753	-925.293
-5237.312	-2611.616	-927.734
